hashed_id,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,pledge,sound_check,sound_check_DO,cave_1,lion_1,potatoes_1,banjo_1,look_left_1,clap_1,sad_1,maple_syrup_1,cats_1,opera_1,dance_1,song_1,window_1,garbage_1,pond_1,yellow_1,attn_check_1,check_task,check_task_DO,AI,gender,gender_4_TEXT,race,race_15_TEXT,education,issues,about,condition,Q_DataPolicyViolations,FL_12_DO,specificcondition_DO,genericcondition_DO,inductiontask_DO
4020d21e26a8,2026-04-20 14:34:59,2026-04-20 14:40:29,IP Address,100,330,True,2026-04-20 14:40:30,R_3jeMpFSqh85oLsl,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|pig|bird|dog,5,2,25,30,39,3,22,8,5,26,3,55,1,15,25,3,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,Some college,NA,not sure,specific,NA,FL_14,can_flip_air|climb_fences|hop_puddles|flap_arms_happy|dont_like_mud|bounce_ball_head|stripes_hair|scared_ladybugs|eat_flowers|chase_shadows|like_sing|draw_stars_knees|freckles_feet|dont_like_icecream|sleep_trees|babies_blankets,NA,clap|window|lion|yellow|pond|banjo|opera|cave|maple_syrup|song|garbage|cats|sad|dance|potatoes|attn_check|look_left
635416a88435,2026-04-20 14:36:19,2026-04-20 14:40:42,IP Address,100,263,True,2026-04-20 14:40:43,R_6WvTOYkoYU2IaFU,anonymous,EN,I consent,"Yes, I will",bird,bird|pig|dog|horse|cow,13,4,25,29,50,5,91,5,8,7,78,92,93,4,16,18,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,High school/GED,no,zarpie stuff,baseline,NA,FL_24,NA,NA,window|attn_check|look_left|garbage|cats|song|pond|maple_syrup|cave|potatoes|opera|lion|clap|banjo|dance|yellow|sad
96b45d2203e2,2026-04-20 14:34:19,2026-04-20 14:40:57,IP Address,100,398,True,2026-04-20 14:40:58,R_6KOPzlC1SJzyQnZ,anonymous,EN,I consent,"Yes, I will",bird,bird|dog|horse|cow|pig,0,0,30,50,50,0,25,0,0,60,50,25,25,0,0,0,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Listening to songs from a fictional group of people|Drawing pictures of people|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,High school/GED,NA,I think it's to learn how people judge groups of people and then assume what types of things they would do based on what they already know.,generic,NA,FL_15,NA,can_flip_air|flap_arms_happy|draw_stars_knees|scared_ladybugs|sleep_trees|hop_puddles|bounce_ball_head|like_sing|climb_fences|dont_like_mud|chase_shadows|freckles_feet|eat_flowers|stripes_hair|babies_blankets|dont_like_icecream,cave|clap|song|dance|yellow|cats|potatoes|pond|window|maple_syrup|attn_check|banjo|garbage|opera|look_left|lion|sad
a6213d500e38,2026-04-20 14:37:03,2026-04-20 14:41:06,IP Address,100,243,True,2026-04-20 14:41:07,R_1SJ1msJtKnpyXut,anonymous,EN,I consent,"Yes, I will",bird,pig|dog|bird|horse|cow,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,How stereotypes are assigned to minorities based on limited contact with that minority,baseline,NA,FL_24,NA,NA,window|yellow|attn_check|clap|look_left|cave|cats|garbage|pond|opera|potatoes|dance|lion|maple_syrup|sad|banjo|song
51f8fe1ca93e,2026-04-20 14:36:33,2026-04-20 14:41:14,IP Address,100,280,True,2026-04-20 14:41:14,R_7bOBxpGYbJoIitK,anonymous,EN,I consent,"Yes, I will",bird,bird|cow|dog|horse|pig,50,14,22,7,38,34,100,38,3,4,11,12,7,76,68,24,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Drawing pictures of people|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,none,Generalizations,baseline,NA,FL_24,NA,NA,sad|garbage|lion|yellow|banjo|maple_syrup|cats|dance|potatoes|attn_check|window|cave|song|clap|opera|look_left|pond
0073af99a252,2026-04-20 14:36:16,2026-04-20 14:41:14,IP Address,100,298,True,2026-04-20 14:41:15,R_5Pk8Yot8QHsxgW7,anonymous,EN,I consent,"Yes, I will",bird,dog|cow|bird|horse|pig,24,1,25,15,40,20,2,2,50,60,50,75,23,3,15,5,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,High school/GED,no,fun and lighthearted. great for the imagination,baseline,NA,FL_24,NA,NA,attn_check|potatoes|song|look_left|clap|banjo|yellow|garbage|dance|maple_syrup|lion|opera|cave|window|pond|cats|sad
f1b29484b796,2026-04-20 14:37:15,2026-04-20 14:41:42,IP Address,100,266,True,2026-04-20 14:41:42,R_3THwKX9sWJZeeoF,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|dog|pig|cow,35,5,40,15,25,5,40,35,10,30,15,45,10,5,75,20,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,None,How i would group an activity among a certain group,baseline,NA,FL_24,NA,NA,opera|dance|cats|attn_check|lion|sad|maple_syrup|clap|potatoes|yellow|window|banjo|song|pond|look_left|garbage|cave
4da167299b2b,2026-04-20 14:36:43,2026-04-20 14:41:44,IP Address,100,301,True,2026-04-20 14:41:44,R_3iJBWPMpkybgWZX,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|pig|cow|dog,90,50,60,20,75,90,95,71,60,50,70,90,30,60,80,60,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,Some college,"No problems, thanks.",Perhaps if we thought all people of one group were the same?,baseline,NA,FL_24,NA,NA,attn_check|pond|clap|lion|sad|song|opera|look_left|garbage|cats|potatoes|window|yellow|banjo|maple_syrup|cave|dance
07acca2ed819,2026-04-20 14:35:17,2026-04-20 14:41:48,IP Address,100,391,True,2026-04-20 14:41:49,R_67QcrXluE1VW4OW,anonymous,EN,I consent,"Yes, I will",bird,pig|dog|cow|horse|bird,20,10,33,6,1,0,5,1,3,9,15,16,2,5,21,11,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",n/a,It was fun,specific,NA,FL_14,like_sing|eat_flowers|hop_puddles|freckles_feet|stripes_hair|chase_shadows|dont_like_mud|babies_blankets|can_flip_air|scared_ladybugs|dont_like_icecream|bounce_ball_head|sleep_trees|flap_arms_happy|draw_stars_knees|climb_fences,NA,opera|clap|cats|maple_syrup|look_left|pond|song|potatoes|cave|yellow|dance|window|banjo|sad|lion|attn_check|garbage
6feb1090e8f8,2026-04-20 14:35:13,2026-04-20 14:41:55,IP Address,100,401,True,2026-04-20 14:41:55,R_3BM0Ei8tcG2osqR,anonymous,EN,I consent,"Yes, I will",bird,dog|cow|pig|horse|bird,15,62,11,13,1,43,8,88,35,77,66,41,89,25,75,37,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,none,what our impressions of Zarpies are?,specific,NA,FL_14,flap_arms_happy|hop_puddles|can_flip_air|eat_flowers|dont_like_mud|draw_stars_knees|climb_fences|stripes_hair|babies_blankets|sleep_trees|chase_shadows|bounce_ball_head|freckles_feet|like_sing|dont_like_icecream|scared_ladybugs,NA,potatoes|cave|sad|attn_check|clap|garbage|cats|opera|lion|window|song|yellow|maple_syrup|pond|banjo|look_left|dance
36de4c0f7596,2026-04-20 14:35:22,2026-04-20 14:42:08,IP Address,100,406,True,2026-04-20 14:42:09,R_3vYRudtJFqU23FI,anonymous,EN,I consent,"Yes, I will",bird,pig|cow|horse|bird|dog,41,22,37,77,81,64,60,73,69,34,91,44,84,72,94,76,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American,Native American, American Indian, or Alaska Native",NA,"Bachelor's (B.A., B.S.)",NA,Fictional groups,generic,NA,FL_15,NA,can_flip_air|bounce_ball_head|draw_stars_knees|dont_like_mud|scared_ladybugs|chase_shadows|flap_arms_happy|eat_flowers|dont_like_icecream|like_sing|climb_fences|stripes_hair|hop_puddles|sleep_trees|freckles_feet|babies_blankets,potatoes|clap|cave|song|banjo|maple_syrup|window|attn_check|lion|look_left|yellow|opera|pond|garbage|sad|dance|cats
792d5654b212,2026-04-20 14:34:45,2026-04-20 14:42:13,IP Address,100,447,True,2026-04-20 14:42:13,R_5lxYYIazLwD5BXI,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|pig|bird|dog,15,2,20,10,30,10,20,5,10,15,20,20,20,1,25,15,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",nothing,making judgments based upon known characteristics,specific,NA,FL_14,eat_flowers|draw_stars_knees|stripes_hair|hop_puddles|scared_ladybugs|freckles_feet|dont_like_icecream|sleep_trees|climb_fences|chase_shadows|can_flip_air|bounce_ball_head|like_sing|flap_arms_happy|babies_blankets|dont_like_mud,NA,yellow|pond|maple_syrup|clap|cats|window|lion|opera|look_left|song|cave|banjo|dance|sad|attn_check|garbage|potatoes
6b493f65fe63,2026-04-20 14:36:54,2026-04-20 14:42:14,IP Address,100,319,True,2026-04-20 14:42:14,R_31dfwPrQxzUVyGK,anonymous,EN,I consent,"Yes, I will",bird,dog|pig|bird|horse|cow,0,1,70,61,36,5,66,1,5,15,14,68,1,23,30,32,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people,No,Male,NA,"White, Caucasian, or European American",NA,High school/GED,NA,Assumptions about a group of people,specific,NA,FL_14,can_flip_air|draw_stars_knees|like_sing|hop_puddles|freckles_feet|bounce_ball_head|sleep_trees|climb_fences|eat_flowers|babies_blankets|stripes_hair|dont_like_icecream|chase_shadows|flap_arms_happy|scared_ladybugs|dont_like_mud,NA,song|garbage|potatoes|cats|banjo|look_left|lion|yellow|clap|pond|cave|attn_check|maple_syrup|window|sad|dance|opera
2214f719b12d,2026-04-20 14:35:13,2026-04-20 14:42:15,IP Address,100,422,True,2026-04-20 14:42:16,R_3hESYCrlXbzaKl3,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|pig|dog|cow,40,3,50,30,50,2,24,10,23,50,75,84,20,10,80,20,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,NA,a certain demographic of people,specific,NA,FL_14,like_sing|bounce_ball_head|chase_shadows|dont_like_icecream|scared_ladybugs|can_flip_air|stripes_hair|flap_arms_happy|hop_puddles|climb_fences|dont_like_mud|babies_blankets|eat_flowers|freckles_feet|sleep_trees|draw_stars_knees,NA,maple_syrup|banjo|sad|opera|dance|look_left|song|yellow|clap|window|attn_check|cave|garbage|lion|cats|potatoes|pond
62ee26a62e6c,2026-04-20 14:36:05,2026-04-20 14:42:17,IP Address,100,372,True,2026-04-20 14:42:17,R_77DzvhERxC3clLb,anonymous,EN,I consent,"Yes, I will",bird,pig|dog|bird|cow|horse,3,4,7,2,10,13,5,2,9,8,5,15,8,3,15,2,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,"Doctoral (Ph.D., J.D., M.D.)",NA,I do not know.,specific,NA,FL_14,draw_stars_knees|flap_arms_happy|chase_shadows|hop_puddles|climb_fences|can_flip_air|stripes_hair|dont_like_mud|scared_ladybugs|eat_flowers|bounce_ball_head|like_sing|freckles_feet|sleep_trees|dont_like_icecream|babies_blankets,NA,potatoes|look_left|yellow|maple_syrup|song|clap|lion|cats|attn_check|garbage|opera|window|sad|banjo|cave|pond|dance
a493ef14d694,2026-04-20 14:35:29,2026-04-20 14:42:20,IP Address,100,410,True,2026-04-20 14:42:20,R_3OBmtVqq32WH7pk,anonymous,EN,I consent,"Yes, I will",bird,dog|bird|pig|horse|cow,96,50,99,45,50,100,98,97,100,24,98,89,72,100,97,64,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,High school/GED,NA,not sure,generic,NA,FL_15,NA,bounce_ball_head|babies_blankets|dont_like_icecream|can_flip_air|like_sing|eat_flowers|freckles_feet|sleep_trees|scared_ladybugs|climb_fences|stripes_hair|dont_like_mud|chase_shadows|flap_arms_happy|draw_stars_knees|hop_puddles,maple_syrup|potatoes|opera|window|garbage|sad|dance|look_left|cats|attn_check|song|pond|banjo|lion|yellow|clap|cave
27d0cca54896,2026-04-20 14:35:34,2026-04-20 14:42:21,IP Address,100,407,True,2026-04-20 14:42:22,R_6fcIeIXak8xrvFh,anonymous,EN,I consent,"Yes, I will",bird,pig|dog|cow|bird|horse,6,7,25,70,6,3,72,39,7,94,73,93,5,5,19,13,100,Answering questions about a fictional group of people,Drawing pictures of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Master's (M.A., M.S.)",NA,maybe how we perceieve a group,generic,NA,FL_15,NA,like_sing|chase_shadows|freckles_feet|can_flip_air|climb_fences|dont_like_mud|bounce_ball_head|draw_stars_knees|stripes_hair|hop_puddles|eat_flowers|sleep_trees|flap_arms_happy|dont_like_icecream|babies_blankets|scared_ladybugs,clap|attn_check|garbage|song|cats|sad|pond|potatoes|yellow|cave|maple_syrup|lion|dance|opera|look_left|window|banjo
