hashed_id,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,pledge,sound_check,sound_check_DO,cave_1,lion_1,potatoes_1,banjo_1,look_left_1,clap_1,sad_1,maple_syrup_1,cats_1,opera_1,dance_1,song_1,window_1,garbage_1,pond_1,yellow_1,attn_check_1,check_task,check_task_DO,AI,gender,gender_4_TEXT,race,race_15_TEXT,education,issues,about,condition,num_generics,total_utt,training_structure,training_features_order,FL_12_DO,InductionTask_DO
d75a46d51171,2025-03-10 08:08:10,2025-03-10 08:14:57,IP Address,100,407,True,2025-03-10 08:14:58,R_7aLdfSHpZaMFw2R,anonymous,EN,I consent,"Yes, I will",bird,dog|bird|horse|cow|pig,9,31,85,20,31,13,56,82,21,10,0,100,45,2,97,56,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people,No,Female,NA,Hispanic or Latino/a,NA,"Bachelor's (B.A., B.S.)",NA,idk,16/16,16,16,GGGGGGGGGGGGGGGG,climb_fences|can_flip_air|dont_like_mud|sleep_trees|hop_puddles|bounce_ball_head|dont_like_icecream|like_sing|flap_arms_happy|eat_flowers|draw_stars_knees|scared_ladybugs|babies_blankets|freckles_feet|stripes_hair|chase_shadows,FL_45,pond|maple_syrup|song|potatoes|sad|lion|clap|cave|cats|garbage|banjo|opera|dance|attn_check|look_left|window|yellow
1bb5644e4f95,2025-03-10 08:07:26,2025-03-10 08:15:26,IP Address,100,479,True,2025-03-10 08:15:27,R_36kFtaIyZom9LON,anonymous,EN,I consent,"Yes, I will",bird,pig|bird|dog|horse|cow,25,20,15,25,10,50,50,25,10,25,25,50,10,25,50,20,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,"White, Caucasian, or European American",NA,High school/GED,None,Group stereotypes,8/12,8,12,SSGGGGSGGSGG,chase_shadows|bounce_ball_head|sleep_trees|hop_puddles|dont_like_icecream|stripes_hair|climb_fences|freckles_feet|draw_stars_knees|flap_arms_happy|scared_ladybugs|can_flip_air,FL_41,yellow|pond|dance|attn_check|look_left|window|clap|sad|garbage|banjo|potatoes|lion|song|opera|cave|cats|maple_syrup
882985fbe164,2025-03-10 08:11:02,2025-03-10 08:18:20,IP Address,100,437,True,2025-03-10 08:18:20,R_7dWl8uQflHDLS1z,anonymous,EN,I consent,"Yes, I will",bird,cow|dog|horse|bird|pig,75,75,35,30,50,50,15,90,10,50,65,65,40,5,85,25,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Male,NA,"White, Caucasian, or European American",NA,Some college,None,How one judges based on limited information,0/12,0,12,SSSSSSSSSSSS,sleep_trees|eat_flowers|can_flip_air|dont_like_icecream|like_sing|stripes_hair|scared_ladybugs|hop_puddles|chase_shadows|dont_like_mud|babies_blankets|bounce_ball_head,FL_34,cats|sad|opera|potatoes|lion|garbage|window|dance|look_left|yellow|banjo|maple_syrup|pond|song|cave|attn_check|clap
040af0f86f63,2025-03-10 08:15:30,2025-03-10 08:19:59,IP Address,100,268,True,2025-03-10 08:19:59,R_71skE10SF6Mz8HR,anonymous,EN,I consent,"Yes, I will",bird,cow|horse|dog|pig|bird,45,0,0,35,30,0,25,5,15,5,40,15,35,65,35,10,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Writing chapters for a fictional book|Answering questions about a fictional group of people|Drawing pictures of people,No,Male,NA,"White, Caucasian, or European American",NA,"Master's (M.A., M.S.)",NA,Judging immigrant groups,4/8,4,8,SGSSGSGG,eat_flowers|sleep_trees|hop_puddles|climb_fences|babies_blankets|flap_arms_happy|bounce_ball_head|like_sing,FL_37,window|lion|song|attn_check|potatoes|sad|dance|yellow|maple_syrup|look_left|pond|banjo|clap|cats|opera|cave|garbage
d42431feb509,2025-03-10 08:15:14,2025-03-10 08:19:59,IP Address,100,284,True,2025-03-10 08:19:59,R_7mhdgK2GNhBhMVR,anonymous,EN,I consent,"Yes, I will",bird,pig|horse|cow|dog|bird,50,12,59,59,51,58,24,61,36,24,48,68,13,75,51,68,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Writing chapters for a fictional book|Answering questions about a fictional group of people|Drawing pictures of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",no,sterotyopes,4/4,4,4,GGGG,climb_fences|eat_flowers|dont_like_icecream|stripes_hair,FL_36,opera|garbage|song|pond|maple_syrup|yellow|dance|look_left|sad|banjo|attn_check|clap|potatoes|cats|lion|window|cave
bbf0f63d800e,2025-03-10 08:14:44,2025-03-10 08:20:53,IP Address,100,369,True,2025-03-10 08:20:54,R_1VExVmCR04SF8m5,anonymous,EN,I consent,"Yes, I will",bird,bird|cow|dog|horse|pig,91,90,17,9,80,100,7,7,8,15,100,11,85,88,95,90,100,Answering questions about a fictional group of people,Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,"White, Caucasian, or European American",NA,High school/GED,N/A,Perceptions of groups,4/4,4,4,GGGG,climb_fences|sleep_trees|scared_ladybugs|eat_flowers,FL_36,lion|sad|attn_check|song|window|clap|yellow|garbage|pond|opera|potatoes|dance|cave|maple_syrup|cats|look_left|banjo
d03660b7a115,2025-03-10 08:13:37,2025-03-10 08:23:18,IP Address,100,581,True,2025-03-10 08:23:19,R_11vf5gxGAeW23yM,anonymous,EN,I consent,"Yes, I will",bird,dog|cow|bird|pig|horse,2,1,2,5,25,1,62,1,1,6,45,75,2,1,4,1,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Drawing pictures of people,No,Female,NA,Black or African American,NA,"Bachelor's (B.A., B.S.)",NA,How invested we are in categorizing other people.,0/4,0,4,SSSS,chase_shadows|babies_blankets|eat_flowers|hop_puddles,FL_15,song|look_left|dance|cave|clap|sad|banjo|opera|potatoes|maple_syrup|attn_check|cats|window|garbage|pond|yellow|lion
7cf0374500a1,2025-03-10 08:16:10,2025-03-10 08:23:20,IP Address,100,429,True,2025-03-10 08:23:20,R_63asiEqy0HVumuG,anonymous,EN,I consent,"Yes, I will",bird,dog|cow|bird|pig|horse,15,5,60,25,50,33,50,15,50,50,25,30,5,5,25,24,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Answering questions about a fictional group of people|Drawing pictures of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,predicting percentages on people behavior,0/4,0,4,SSSS,can_flip_air|babies_blankets|climb_fences|draw_stars_knees,FL_15,clap|yellow|opera|attn_check|cave|banjo|window|cats|look_left|sad|song|dance|lion|maple_syrup|garbage|pond|potatoes
489c60f4eaa8,2025-03-10 08:18:24,2025-03-10 08:23:53,IP Address,100,328,True,2025-03-10 08:23:54,R_7PnU253Na2MRJy6,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|dog|pig|bird,1,1,2,1,1,1,20,1,2,3,1,5,2,1,1,1,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Writing chapters for a fictional book|Answering questions about a fictional group of people|Drawing pictures of people,No,Male,NA,"White, Caucasian, or European American",NA,"Master's (M.A., M.S.)",NA,How we use percentages,0/12,0,12,SSSSSSSSSSSS,babies_blankets|chase_shadows|like_sing|scared_ladybugs|climb_fences|stripes_hair|sleep_trees|dont_like_icecream|freckles_feet|flap_arms_happy|eat_flowers|bounce_ball_head,FL_34,potatoes|banjo|song|maple_syrup|lion|window|clap|cave|opera|dance|yellow|look_left|garbage|pond|sad|attn_check|cats
a6abf913569c,2025-03-10 08:15:32,2025-03-10 08:24:09,IP Address,100,517,True,2025-03-10 08:24:09,R_71KQjgq8l0i4NJA,anonymous,EN,I consent,"Yes, I will",bird,cow|dog|pig|horse|bird,10,10,24,15,15,15,10,10,15,10,10,10,15,10,15,15,100,Answering questions about a fictional group of people,Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people|Answering questions about a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,High school/GED,NA,"on the surface...Zurpies.  Under the surface, I dont know.  But that is one weird group of people :)",4/8,4,8,SSGSGSGG,flap_arms_happy|chase_shadows|babies_blankets|eat_flowers|climb_fences|dont_like_icecream|can_flip_air|freckles_feet,FL_37,potatoes|yellow|clap|look_left|window|cats|cave|banjo|opera|song|pond|garbage|attn_check|lion|dance|maple_syrup|sad
1f8180cdf4c4,2025-03-10 08:20:40,2025-03-10 08:24:11,IP Address,100,211,True,2025-03-10 08:24:11,R_6nHGJkmlHyr2Rqk,anonymous,EN,I consent,"Yes, I will",bird,pig|horse|dog|cow|bird,70,49,65,69,44,47,42,25,37,23,94,83,59,35,78,50,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people,No,Female,NA,East Asian,NA,"Bachelor's (B.A., B.S.)",no,assumptions we have on a group of fictional people,baseline,NA,NA,NA,NA,FL_14,look_left|opera|maple_syrup|potatoes|yellow|cave|song|lion|window|dance|banjo|pond|cats|clap|sad|garbage|attn_check
96d573785ee1,2025-03-10 08:17:37,2025-03-10 08:24:19,IP Address,100,402,True,2025-03-10 08:24:19,R_7jcxf8iUM4Yu0I6,anonymous,EN,I consent,"Yes, I will",bird,cow|dog|horse|bird|pig,10,60,25,25,5,30,0,40,0,90,75,80,20,5,25,80,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",nope,being given attributes of a group of people and then making more assumptions about them based on those given attributes,16/16,16,16,GGGGGGGGGGGGGGGG,babies_blankets|sleep_trees|dont_like_icecream|can_flip_air|climb_fences|freckles_feet|chase_shadows|flap_arms_happy|dont_like_mud|draw_stars_knees|stripes_hair|scared_ladybugs|hop_puddles|bounce_ball_head|eat_flowers|like_sing,FL_45,banjo|cave|dance|pond|song|attn_check|yellow|maple_syrup|garbage|window|look_left|opera|lion|sad|clap|potatoes|cats
3c943f45ae04,2025-03-10 08:18:50,2025-03-10 08:24:51,IP Address,100,361,True,2025-03-10 08:24:52,R_6lcjngxPJLvijND,anonymous,EN,I consent,"Yes, I will",bird,cow|dog|bird|pig|horse,25,6,51,62,13,50,38,3,13,24,6,51,4,7,52,50,100,Answering questions about a fictional group of people,Drawing pictures of people|Writing chapters for a fictional book|Answering questions about a fictional group of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American",NA,"Master's (M.A., M.S.)",no,no,0/8,0,8,SSSSSSSS,sleep_trees|can_flip_air|freckles_feet|dont_like_mud|draw_stars_knees|like_sing|climb_fences|scared_ladybugs,FL_24,yellow|look_left|lion|banjo|attn_check|clap|potatoes|garbage|maple_syrup|window|sad|cave|dance|song|pond|cats|opera
db0817713f45,2025-03-10 08:20:02,2025-03-10 08:24:59,IP Address,100,297,True,2025-03-10 08:25:00,R_6jr3VY0clYupom5,anonymous,EN,I consent,"Yes, I will",bird,bird|horse|cow|pig|dog,67,10,33,63,51,40,76,45,28,25,39,27,18,0,36,49,100,Answering questions about a fictional group of people,Listening to songs from a fictional group of people|Drawing pictures of people|Answering questions about a fictional group of people|Writing chapters for a fictional book,No,Male,NA,South or Southeast Asian,NA,"Bachelor's (B.A., B.S.)",no,yes,4/16,4,16,SSSSGGSGSSSSSGSS,eat_flowers|bounce_ball_head|chase_shadows|can_flip_air|hop_puddles|flap_arms_happy|scared_ladybugs|draw_stars_knees|freckles_feet|babies_blankets|dont_like_icecream|stripes_hair|dont_like_mud|climb_fences|sleep_trees|like_sing,FL_39,look_left|dance|banjo|attn_check|garbage|lion|yellow|song|cave|window|sad|opera|pond|cats|maple_syrup|clap|potatoes
515dd0e790fe,2025-03-10 08:11:53,2025-03-10 08:25:13,IP Address,100,800,True,2025-03-10 08:25:13,R_3Jr47aPtHanxNS8,anonymous,EN,I consent,"Yes, I will",bird,cow|pig|bird|dog|horse,7,1,44,75,45,64,60,60,59,76,66,52,25,66,62,30,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Listening to songs from a fictional group of people|Drawing pictures of people,No,Male,NA,Black or African American,NA,"Bachelor's (B.A., B.S.)",NA,Study about fictional group,0/8,0,8,SSSSSSSS,sleep_trees|dont_like_icecream|eat_flowers|freckles_feet|scared_ladybugs|like_sing|dont_like_mud|babies_blankets,FL_24,banjo|attn_check|clap|yellow|song|potatoes|pond|opera|cave|window|maple_syrup|garbage|look_left|dance|sad|cats|lion
d561206973e9,2025-03-10 08:19:10,2025-03-10 08:25:56,IP Address,100,405,True,2025-03-10 08:25:56,R_3VvxZrQjDJkRjLM,anonymous,EN,I consent,"Yes, I will",bird,horse|cow|dog|bird|pig,38,39,57,26,34,41,46,33,26,59,22,58,27,33,49,38,100,Answering questions about a fictional group of people,Drawing pictures of people|Answering questions about a fictional group of people|Listening to songs from a fictional group of people|Writing chapters for a fictional book,No,Female,NA,"White, Caucasian, or European American",NA,"Bachelor's (B.A., B.S.)",NA,I really don't know.,8/8,8,8,GGGGGGGG,sleep_trees|can_flip_air|climb_fences|scared_ladybugs|stripes_hair|draw_stars_knees|hop_puddles|freckles_feet,FL_40,look_left|cats|cave|sad|banjo|pond|dance|maple_syrup|attn_check|song|opera|window|garbage|lion|yellow|clap|potatoes
4ae79b6350b3,2025-03-10 08:20:39,2025-03-10 08:26:18,IP Address,100,339,True,2025-03-10 08:26:18,R_7in9QqBwHxTV7O2,anonymous,EN,I consent,"Yes, I will",bird,dog|bird|pig|horse|cow,100,79,61,69,94,68,74,86,74,50,71,100,98,83,100,100,100,Answering questions about a fictional group of people,Answering questions about a fictional group of people|Writing chapters for a fictional book|Drawing pictures of people|Listening to songs from a fictional group of people,No,Female,NA,"White, Caucasian, or European American,Hispanic or Latino/a",NA,"Bachelor's (B.A., B.S.)",no,hearing and seeing info a group of poeple and trying to make assumptuons about them,8/12,8,12,SGGGGGGGGSSS,chase_shadows|hop_puddles|draw_stars_knees|dont_like_mud|dont_like_icecream|babies_blankets|bounce_ball_head|stripes_hair|flap_arms_happy|scared_ladybugs|can_flip_air|freckles_feet,FL_41,yellow|cave|maple_syrup|look_left|dance|banjo|window|song|sad|potatoes|cats|pond|clap|lion|garbage|attn_check|opera
