ID,condition,live_caves,ride_lions,farm_potatoes,play_banjo,look_left,clap_three,smile_sad,chug_syrup,yell_cats,go_opera,dance_fire,sing_songs,scream_windows,smell_garbage,wash_ponds,paint_hands,Ethnicity,Gender,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17
1075,baseline,25,1,10,5,50,50,25,5,5,25,50,25,5,5,50,25,Mixed,Woman (including Trans Female/Trans Woman),English,30,Female,Mixed,United States,United States,United States,English,No,Part-Time,opera,clap,cats,maple syrup,sad,window,pond,song,cave,look left,attention I1,yellow,dance,potatoes,garbage,lion,banjo
1076,generic,1,0,12,3,5,1,35,0,2,25,1,55,1,0,1,5,White/Caucasian,Woman (including Trans Female/Trans Woman),English,38,Female,White,United States,United States,United States,English,No,Other,potatoes,pond,attention I1,clap,window,garbage,lion,yellow,banjo,sad,cave,maple syrup,look left,dance,opera,song,cats
1077,generic,100,87,23,24,100,100,100,76,76,24,50,11,50,76,76,75,White/Caucasian,Woman (including Trans Female/Trans Woman),"English, German",50,Female,White,Germany,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,cats,window,cave,opera,potatoes,sad,maple syrup,lion,song,dance,attention I1,banjo,garbage,yellow,pond,clap,look left
1078,specific,4,5,15,12,12,10,30,8,16,15,20,15,11,4,13,9,White/Caucasian,Man (including Trans Male/Trans Man),English,36,Male,White,United States,United States,United States,English,No,Full-Time,lion,song,clap,maple syrup,look left,potatoes,cave,window,yellow,pond,dance,garbage,sad,opera,banjo,cats,attention I1
1079,baseline,5,1,30,5,45,2,50,10,10,25,60,25,5,1,14,6,White/Caucasian,Woman (including Trans Female/Trans Woman),English,41,Female,White,United States,United States,United States,English,No,Full-Time,opera,song,cats,sad,look left,maple syrup,window,potatoes,dance,pond,banjo,cave,attention I1,lion,yellow,clap,garbage
1080,generic,35,55,5,25,10,75,10,79,75,5,10,15,80,75,60,65,White/Caucasian,Woman (including Trans Female/Trans Woman),English,63,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",garbage,look left,pond,window,cats,banjo,yellow,maple syrup,dance,lion,opera,sad,clap,attention I1,potatoes,song,cave
1081,baseline,3,2,33,5,58,6,17,2,7,35,9,24,3,2,5,2,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Part-Time,song,cave,window,opera,pond,yellow,maple syrup,garbage,attention I1,clap,look left,potatoes,cats,dance,sad,banjo,lion
1082,specific,22,45,85,66,24,72,14,18,7,55,75,72,10,36,74,38,White/Caucasian,Man (including Trans Male/Trans Man),English,54,Male,White,United States,United States,United States,English,No,Full-Time,look left,attention I1,pond,sad,dance,window,potatoes,garbage,lion,clap,yellow,maple syrup,cats,song,cave,banjo,opera
1083,specific,75,1,75,1,100,1,5,1,1,25,1,90,1,1,75,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,50,Female,White,United States,United States,United States,English,No,Full-Time,cave,yellow,banjo,cats,clap,attention I1,potatoes,pond,window,dance,lion,look left,song,opera,sad,maple syrup,garbage
1084,baseline,11,28,24,44,51,63,32,3,9,16,16,36,44,27,70,33,South Asian,Man (including Trans Male/Trans Man),English,30,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pond,song,sad,opera,look left,clap,garbage,yellow,lion,window,attention I1,potatoes,cave,banjo,maple syrup,cats,dance
1085,baseline,43,7,72,17,38,34,28,50,26,19,58,61,6,22,90,45,Black/African American,Man (including Trans Male/Trans Man),English,29,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,cats,lion,cave,dance,banjo,sad,look left,garbage,song,potatoes,maple syrup,clap,pond,opera,attention I1,window,yellow
1086,generic,25,25,40,50,50,50,50,75,50,40,75,75,50,25,50,75,White/Caucasian,Woman (including Trans Female/Trans Woman),"English, Spanish",45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,maple syrup,song,window,yellow,banjo,pond,attention I1,look left,potatoes,dance,lion,cats,opera,sad,cave,clap,garbage
1087,specific,19,11,16,17,32,26,17,15,19,25,15,12,10,3,47,6,White/Caucasian,Woman (including Trans Female/Trans Woman),English,29,Female,White,United States,United States,United States,English,No,Full-Time,song,look left,sad,window,cave,garbage,pond,yellow,opera,dance,maple syrup,lion,clap,banjo,cats,attention I1,potatoes
1088,baseline,60,15,20,24,50,75,95,40,12,10,25,30,20,15,40,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,55,Female,White,United States,United States,United States,English,No,Other,cave,banjo,opera,garbage,song,cats,look left,maple syrup,clap,sad,pond,window,yellow,potatoes,dance,attention I1,lion
1089,specific,38,15,65,50,57,40,25,28,20,60,20,75,12,10,40,37,White/Caucasian,Man (including Trans Male/Trans Man),English,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),attention I1,look left,potatoes,maple syrup,banjo,garbage,cave,song,window,cats,sad,pond,lion,dance,yellow,opera,clap
1090,generic,23,11,36,16,50,52,48,14,19,12,6,37,21,9,59,6,White/Caucasian,Man (including Trans Male/Trans Man),English,62,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,maple syrup,potatoes,cats,sad,opera,pond,song,lion,yellow,clap,look left,attention I1,garbage,dance,cave,window,banjo
1091,generic,20,20,50,90,80,66,20,100,60,75,100,75,10,33,60,25,Black/African American,Man (including Trans Male/Trans Man),English,34,Male,Black,United States,United States,United States,English,No,Full-Time,song,lion,window,banjo,opera,attention I1,clap,maple syrup,dance,yellow,cats,cave,look left,potatoes,garbage,pond,sad
1092,specific,62,9,50,13,50,13,65,17,28,23,25,89,75,12,90,10,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"Spanish, English",27,Female,Mixed,United States,United States,United States,English,No,Other,window,song,garbage,look left,attention I1,cats,opera,clap,banjo,lion,potatoes,maple syrup,yellow,dance,cave,sad,pond
1093,baseline,6,1,4,2,89,1,9,4,6,6,27,14,17,3,10,7,White/Caucasian,Man (including Trans Male/Trans Man),English,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,lion,cats,sad,banjo,maple syrup,garbage,cave,song,look left,opera,window,dance,pond,clap,attention I1,potatoes,yellow
1094,baseline,50,25,80,15,60,50,88,3,89,2,100,1,50,35,45,10,White/Caucasian,Man (including Trans Male/Trans Man),English,39,Male,White,United States,United States,United States,English,No,Full-Time,cave,potatoes,maple syrup,opera,garbage,look left,cats,lion,dance,attention I1,clap,banjo,pond,yellow,window,song,sad
1095,specific,25,1,30,10,5,4,50,0,0,50,1,75,1,0,35,35,White/Caucasian,Woman (including Trans Female/Trans Woman),English,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",cave,sad,potatoes,yellow,clap,maple syrup,song,pond,banjo,look left,garbage,opera,attention I1,lion,cats,window,dance
1096,baseline,39,28,36,32,35,42,66,40,65,33,69,50,34,58,69,29,White/Caucasian,Man (including Trans Male/Trans Man),English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),sad,song,cats,lion,attention I1,potatoes,look left,clap,window,garbage,yellow,dance,cave,pond,banjo,opera,maple syrup
1097,specific,2,1,5,3,28,3,10,2,3,4,4,6,6,2,4,2,White/Caucasian,Man (including Trans Male/Trans Man),English,41,Male,White,United States,United States,United States,English,No,Full-Time,opera,maple syrup,song,pond,dance,cave,lion,window,yellow,look left,attention I1,banjo,clap,potatoes,sad,cats,garbage
1098,generic,3,3,26,2,4,1,75,5,14,6,10,35,18,10,15,5,White/Caucasian,Man (including Trans Male/Trans Man),English,39,Male,White,United States,United States,United States,English,Yes,Full-Time,sad,yellow,garbage,song,attention I1,lion,pond,window,clap,opera,cats,potatoes,look left,cave,dance,maple syrup,banjo
1099,specific,10,0,60,5,50,32,1,20,25,5,35,60,5,5,35,75,Latino/Hispanic,Man (including Trans Male/Trans Man),English,40,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,cats,look left,pond,cave,banjo,lion,sad,maple syrup,dance,potatoes,opera,clap,song,yellow,garbage,window,attention I1
1100,specific,29,27,58,74,44,39,55,63,7,14,63,86,10,3,60,91,Black/African American,Woman (including Trans Female/Trans Woman),English,32,Female,Black,Spain,United States,United States,English,No,Unemployed (and job seeking),garbage,opera,sad,window,banjo,dance,song,yellow,look left,clap,pond,cave,maple syrup,attention I1,potatoes,lion,cats
1101,generic,50,33,25,33,70,66,10,25,10,20,60,25,10,10,15,75,Mixed,Man (including Trans Male/Trans Man),English,30,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,lion,cats,banjo,dance,garbage,song,sad,cave,potatoes,attention I1,maple syrup,look left,window,opera,clap,yellow,pond
1102,specific,17,1,9,13,51,16,1,4,75,25,90,92,15,1,24,7,White/Caucasian,Man (including Trans Male/Trans Man),English,79,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",banjo,potatoes,maple syrup,cats,lion,garbage,dance,look left,pond,yellow,song,sad,window,cave,opera,attention I1,clap
1103,specific,35,14,42,7,11,6,6,3,7,1,22,40,8,8,37,25,White/Caucasian,Man (including Trans Male/Trans Man),English,40,Male,White,United States,United States,United States,English,No,Full-Time,pond,banjo,opera,window,attention I1,song,cats,yellow,maple syrup,look left,potatoes,sad,clap,cave,garbage,dance,lion
1104,specific,25,5,26,21,15,60,41,56,5,8,75,30,40,10,66,70,Latino/Hispanic,Man (including Trans Male/Trans Man),English,29,Male,Other,United States,United States,United States,English,No,Part-Time,song,lion,attention I1,window,banjo,clap,potatoes,opera,maple syrup,garbage,cats,pond,sad,cave,yellow,look left,dance
1105,generic,0,40,33,25,10,10,10,35,0,80,15,100,0,0,10,15,East Asian,Man (including Trans Male/Trans Man),English,22,Male,Asian,United States,United States,United States,English,No,Full-Time,garbage,attention I1,song,cats,sad,pond,dance,potatoes,cave,look left,window,opera,yellow,banjo,maple syrup,lion,clap
1106,generic,51,1,76,98,50,100,0,98,50,50,100,76,50,25,98,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Part-Time,potatoes,look left,banjo,garbage,dance,pond,song,cats,lion,window,sad,maple syrup,yellow,attention I1,opera,cave,clap
1107,specific,10,1,35,5,75,5,0,7,80,2,100,25,80,3,75,10,Latino/Hispanic,Man (including Trans Male/Trans Man),English,22,Male,White,United States,United States,United States,English,Yes,Part-Time,garbage,attention I1,lion,clap,dance,song,cave,maple syrup,pond,cats,yellow,look left,potatoes,window,sad,banjo,opera
1108,generic,91,84,100,72,67,86,59,67,70,95,85,73,69,72,85,83,Black/African American,Man (including Trans Male/Trans Man),English,32,Male,Black,United States,United States,United States,English,Yes,Part-Time,sad,song,potatoes,cave,clap,window,banjo,maple syrup,attention I1,cats,yellow,lion,dance,garbage,look left,opera,pond
1109,generic,100,85,100,86,93,100,92,72,52,82,100,100,100,64,100,73,Latino/Hispanic,Rather not say,"English, Spanish",22,Female,Mixed,United States,United States,United States,Spanish,No,Unemployed (and job seeking),window,opera,cave,song,potatoes,lion,clap,maple syrup,attention I1,garbage,banjo,dance,pond,sad,yellow,cats,look left
1110,specific,15,1,11,5,3,5,5,4,10,18,100,25,22,3,15,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,57,Female,White,United States,United States,United States,English,No,Other,sad,cats,cave,attention I1,dance,song,pond,yellow,clap,garbage,window,banjo,look left,opera,maple syrup,potatoes,lion
1111,baseline,5,5,8,5,50,50,50,50,25,10,95,10,2,5,50,3,White/Caucasian,Man (including Trans Male/Trans Man),"English, Japanese",28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,garbage,look left,song,attention I1,cave,potatoes,window,maple syrup,clap,banjo,yellow,opera,sad,dance,pond,cats,lion
1112,baseline,37,31,84,83,66,49,37,97,49,77,100,76,49,25,100,47,White/Caucasian,Rather not say,English,61,Male,White,Puerto Rico,United States,United States,English,No,Part-Time,yellow,garbage,attention I1,pond,window,song,clap,lion,look left,cave,dance,banjo,cats,opera,potatoes,maple syrup,sad
1113,generic,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Part-Time,dance,yellow,maple syrup,look left,cats,attention I1,garbage,clap,banjo,lion,pond,song,potatoes,window,cave,sad,opera
1114,baseline,75,25,60,40,50,50,75,75,25,25,50,85,10,65,65,50,White / Sephardic Jew,Woman (including Trans Female/Trans Woman),English,64,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",lion,attention I1,yellow,window,potatoes,maple syrup,sad,dance,pond,song,cats,look left,banjo,clap,garbage,cave,opera
1115,specific,10,3,15,30,35,85,70,60,10,45,75,55,5,35,25,80,White/Caucasian,Woman (including Trans Female/Trans Woman),English,59,Female,White,United States,United States,United States,English,No,Part-Time,pond,potatoes,look left,cave,opera,dance,song,maple syrup,yellow,window,cats,garbage,banjo,attention I1,lion,sad,clap
1116,specific,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,36,Female,White,United States,United States,United States,English,No,Full-Time,yellow,clap,opera,window,banjo,sad,cats,song,lion,potatoes,maple syrup,attention I1,dance,pond,cave,garbage,look left
1117,baseline,49,14,50,54,75,12,52,91,24,84,91,75,18,77,96,11,White/Caucasian,Woman (including Trans Female/Trans Woman),English,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",yellow,potatoes,look left,lion,song,cats,opera,dance,window,sad,garbage,cave,clap,maple syrup,pond,attention I1,banjo
1118,generic,1,5,10,5,10,0,5,1,3,35,1,65,1,1,20,15,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,song,look left,pond,opera,dance,window,lion,banjo,garbage,potatoes,maple syrup,attention I1,cave,cats,clap,sad,yellow
1119,specific,10,3,25,10,50,1,1,2,1,20,90,10,1,1,50,1,Latino/Hispanic,Woman (including Trans Female/Trans Woman),English,50,Female,Other,United States,United States,United States,English,No,Full-Time,song,window,potatoes,look left,lion,maple syrup,attention I1,opera,cave,clap,cats,sad,garbage,dance,pond,yellow,banjo
1120,generic,9,7,14,14,6,22,50,8,50,35,41,16,25,6,8,7,White/Caucasian,Woman (including Trans Female/Trans Woman),English,49,Female,White,United States,United States,United States,English,No,Full-Time,window,cats,garbage,look left,potatoes,pond,yellow,banjo,attention I1,song,maple syrup,opera,sad,clap,dance,cave,lion
1121,specific,47,29,33,25,7,18,8,22,8,20,24,25,8,4,37,21,White/Caucasian,Woman (including Trans Female/Trans Woman),English,32,Female,White,United States,United States,United States,English,No,Part-Time,banjo,opera,yellow,dance,sad,cats,window,maple syrup,song,cave,look left,potatoes,garbage,pond,clap,lion,attention I1
1122,baseline,100,1,35,50,1,3,1,1,5,25,1,30,2,1,90,1,Black/African American,Woman (including Trans Female/Trans Woman),English,78,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",banjo,lion,yellow,potatoes,look left,cave,maple syrup,window,sad,clap,attention I1,pond,garbage,cats,opera,song,dance
1123,generic,40,24,67,39,44,50,29,33,31,41,41,76,35,22,49,50,White/Caucasian,Woman (including Trans Female/Trans Woman),English,29,Female,White,United States,United States,United States,English,No,Part-Time,opera,banjo,sad,potatoes,dance,look left,pond,maple syrup,lion,garbage,yellow,window,cats,clap,song,attention I1,cave
1124,specific,75,40,50,25,25,95,15,70,25,30,75,85,65,40,85,60,Mixed,Man (including Trans Male/Trans Man),English,30,Male,Mixed,United States,United States,United States,English,Yes,Full-Time,dance,banjo,song,attention I1,maple syrup,yellow,cats,potatoes,cave,lion,pond,clap,garbage,sad,look left,opera,window
1125,generic,99,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,White/Caucasian,Man (including Trans Male/Trans Man),English,55,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,dance,cave,yellow,lion,sad,opera,pond,banjo,garbage,attention I1,song,potatoes,look left,window,maple syrup,cats,clap
1126,generic,25,25,25,25,25,25,25,25,25,25,25,75,25,25,25,25,White/Caucasian,Man (including Trans Male/Trans Man),English,52,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",banjo,pond,maple syrup,garbage,sad,potatoes,look left,cats,window,clap,dance,cave,opera,lion,yellow,attention I1,song
1127,generic,3,1,30,10,25,1,5,25,30,20,50,75,35,5,15,5,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Full-Time,maple syrup,sad,banjo,lion,opera,pond,window,yellow,attention I1,garbage,potatoes,dance,look left,cats,cave,song,clap
1128,generic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,57,Female,White,United States,United States,United States,English,No,Full-Time,window,potatoes,garbage,cats,dance,clap,yellow,look left,cave,song,sad,pond,banjo,maple syrup,lion,attention I1,opera
1129,specific,10,6,26,31,10,9,11,10,1,2,20,62,5,4,61,20,White/Caucasian,Man (including Trans Male/Trans Man),English,48,Male,White,United States,United States,United States,Greek,No,Part-Time,attention I1,cats,banjo,yellow,potatoes,cave,lion,pond,maple syrup,window,clap,opera,garbage,look left,song,dance,sad
1130,baseline,75,1,5,10,50,90,10,10,1,1,95,20,5,1,25,1,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",33,Male,White,United States,United States,United States,English,No,Full-Time,cave,attention I1,look left,clap,song,maple syrup,banjo,pond,lion,dance,sad,window,yellow,garbage,potatoes,opera,cats
1131,specific,3,50,50,3,3,4,5,4,3,3,4,51,3,50,4,3,White/Caucasian,Woman (including Trans Female/Trans Woman),English,67,Female,White,United States,United States,United States,English,No,Part-Time,song,garbage,potatoes,lion,banjo,pond,opera,clap,sad,cave,maple syrup,yellow,look left,dance,cats,window,attention I1
1132,baseline,84,73,78,25,87,95,79,88,10,40,66,52,18,84,94,72,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",41,Male,White,United States,United States,United States,English,No,Full-Time,dance,look left,yellow,maple syrup,pond,cats,sad,banjo,attention I1,song,potatoes,window,clap,garbage,opera,lion,cave
1133,baseline,50,5,10,15,35,40,15,10,15,20,75,15,20,2,15,5,White/Caucasian,Man (including Trans Male/Trans Man),English,31,Male,White,United States,United States,United States,English,No,Part-Time,song,opera,yellow,look left,banjo,window,cats,clap,potatoes,pond,garbage,attention I1,sad,dance,cave,lion,maple syrup
1134,specific,50,10,50,15,50,3,5,25,25,35,25,50,25,2,85,6,White/Caucasian,Man (including Trans Male/Trans Man),English,37,Male,White,United States,United States,United States,English,Yes,Full-Time,yellow,lion,dance,maple syrup,sad,banjo,cave,attention I1,potatoes,clap,song,look left,cats,opera,pond,garbage,window
1135,generic,3,1,18,22,5,2,3,6,41,8,3,77,28,5,10,4,South Asian,Man (including Trans Male/Trans Man),"French, English",27,Male,Asian,India,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pond,sad,song,lion,potatoes,opera,dance,attention I1,window,cats,look left,maple syrup,cave,clap,garbage,banjo,yellow
1136,baseline,7,7,30,40,40,24,63,11,14,50,50,63,18,14,26,12,Mixed,Man (including Trans Male/Trans Man),English,45,Male,Mixed,United States,United States,United States,English,No,Full-Time,opera,cats,maple syrup,look left,garbage,potatoes,attention I1,sad,pond,banjo,window,song,dance,cave,yellow,clap,lion
1137,generic,0,0,25,25,60,24,11,15,38,50,75,100,31,50,0,32,White/Caucasian,Man (including Trans Male/Trans Man),English,49,Male,White,United States,United States,United States,English,No,Full-Time,potatoes,dance,maple syrup,pond,song,cats,attention I1,garbage,sad,cave,lion,look left,banjo,yellow,opera,window,clap
1138,generic,25,88,75,94,76,50,76,40,14,11,78,95,27,36,57,88,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"English, Spanish",30,Female,White,United States,United States,United States,Spanish,No,Part-Time,attention I1,lion,potatoes,maple syrup,cave,dance,opera,yellow,garbage,window,banjo,look left,sad,song,clap,pond,cats
1139,generic,75,35,35,30,25,10,75,3,3,85,10,60,20,50,90,35,White/Caucasian,Woman (including Trans Female/Trans Woman),English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,potatoes,dance,maple syrup,attention I1,lion,sad,clap,window,garbage,cave,yellow,opera,pond,cats,song,banjo,look left
1140,generic,29,72,68,77,10,50,9,73,14,76,32,76,24,77,69,9,White/Caucasian,Woman (including Trans Female/Trans Woman),English,30,Female,White,United States,United States,United States,English,Yes,Part-Time,window,potatoes,dance,cats,look left,sad,yellow,clap,pond,opera,lion,maple syrup,song,garbage,attention I1,banjo,cave
